dataset,variable,new_ID,Explanation,Use,Values,Notes
reproductive health,rhq200,breastfeed,Currently Breastfeeding,Used to find who was 0-12 months postpartum (not-pregnant) and either breastfeeding or not-breastfeeding.,1= Yes; 2 = No; 3 = refused/don't know/missing,This information was only used for the subgroup analysis of breastfeeding versus non-breastfeeding women
laboratory data,lbxvidms,vitD_lab,Total serum vitamin D (D2 +D3) in nmol/L,Analysis,Continuous,
laboratory data,lbxvd2ms,vitD2_lab,Serum vitamin D 2 level  in nmol/L,Analysis,Continuous,If below the lower limit of detection (2.05 nmol/L) an imputed value of 1.45 was placed for that participant. Over 70% of participants have the imputed value
laboratory data,lbxvd3ms,vitD3_lab,Serum vitamin D3 level  in nmol/L,Analysis,Continuous,No one was below lower limit of detection in all 12 years of data
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tvd,vitD_interview,Vitamin D (D2 + D3) (mcg),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tkcal,kcal,Energy (kcal),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tprot,protein,Protein (gm),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tcarb,carbs,Carbohydrate (gm),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tsugr,sugars,Total sugars (gm),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1ttfat,fats,Total fat (gm),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tsfat,sat_fats,Total saturated fatty acids (gm),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tmfat,monosat_fats,Total monounsaturated fatty acids (gm),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",dr1tpfat,polysat_fats,Total polyunsaturated fatty acids (gm),Analysis,Continuous,
"Dietary Interview - Total Nutrient Intakes, First Day",wtdrd1,sample_wts,Dietary Day 1 Sample Weight [Julia: THESE ARE THE SURVEY WEIGHTS FOR DIET!],Analysis ,Continuous ,Tori removed observations with zero (indicating that the dietary recall data is incomplete);  ‘wtdrd1’ is the variable name in NHANES. BUT when you combine the files into an excel files it sometimes changes it to ‘wtdrd1.x’ - please be aware of this if errors are popping up when you are tyring to play around with the weight. 
"Dietary Interview - Total Nutrient Intakes, First Day",weight12yr,sample_wt,Appropriate sample weight calculated from dietary day 1 sample weight- calculated by research team,Analysis ,calculation= I created a new variable that was [(1/6) x wtdrd1] ,
"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",ds1tvd,extraD,Supplement Vitamin D (D2 + D3) (mcg),"We were using this only for the table of characteristics. Due to potentially multicollinearity, it would be left out of regressions.",Continuous,
"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",ds1ds,supplements,Any dietary supplement taken? (past 24 hours still),used to decipher the appropriate sample size of participants who filled out information regarding supplement amounts taken. ,"1 = Yes; 2 = NO, NA  = refused/don't know/missing",The research team calculated all participants who answered ‘yes’ or ‘no’ to whether they had taken any dietary supplements within the past 24 hours as the total sample size of the participants who completed information. This was done to evaluate the prevalence of vitamin D supplement use more accurately in the study populations.  concerning recent vitamin D supplement use.
examination,bmxbmi,bmi,Body Mass Index (kg/m**2),Analysis,Continuous,
demographic,sdmvpsu,var_unit,,,,
demographic,sdmvstra,strata,,,,
newly_created,studypop,studypop,study population (redefined in variable),,,
demographic,indfmpir,indfmpir,ratio of family income to poverty,Analysis,Continuous,
